rowname,rmse20,rmse80,rsq20,rsq80,FAC2,FB,NMSE
Al_i,144.3297,96.2037,0.2961,0.2145,0.875,0.133,0.4366
Al_s,3.3603,4.9087,0.6499,0.5719,0.9643,0.0468,0.1192
As_i,0.1449,0.1864,0.5666,0.4772,1,0.0736,0.0584
As_s,0.1564,0.1042,0.7759,0.7795,0.8571,0.0964,0.1389
B_i,4.6306,2.2425,0.3894,0.4541,0.7679,0.0842,1.0326
B_s,1.9058,1.7606,0.6644,0.6323,0.9464,0.0634,0.1128
Ba_i,7.2388,4.2182,0.6214,0.8091,0.7143,0.2031,0.2703
Ba_s,2.6088,1.7454,0.4214,0.7947,0.875,0.0596,0.1765
Bi_i,0.0846,0.0762,0.7684,0.8337,0.8214,0.0053,0.1056
Bi_s,0.0058,0.0049,0.7558,0.8279,1,0.0291,0.1081
Ca_i,509.7599,606.7522,0.3851,0.2527,0.8929,0.0104,0.1948
Ca_s,250.2632,232.6213,0.463,0.5786,0.9643,0.0373,0.0882
Cd_i,0.0315,0.0298,0.7154,0.6883,0.75,0.1191,0.1757
Cd_s,0.035,0.0565,0.902,0.7905,0.9286,0.0533,0.0513
Ce_i,0.0869,0.1156,0.4463,0.403,0.9464,0.0192,0.0807
Ce_s,0.0243,0.0146,0.0083,0.3891,0.8393,0.0261,1.0202
Co_i,0.1491,0.0855,0.7441,0.9408,0.8393,0.0069,0.161
Co_s,0.02,0.0134,0.5966,0.6748,0.7857,0.0118,0.1777
Cr_i,31.5885,10.7637,0.7725,0.8721,0.9107,0.142,0.4572
Cr_s,0.8927,0.7422,0.7071,0.7366,0.9821,0.0303,0.1389
Cs_i,0.0168,0.01,0.6653,0.8053,0.75,0.0905,0.1649
Cs_s,0.019,0.0114,0.7831,0.8996,0.9643,0.0945,0.145
Cu_i,2.3395,2.5048,0.8422,0.7911,1,0.0478,0.0429
Cu_s,1.2486,0.8827,0.5654,0.7901,0.8393,0.0212,0.1433
Fe_s,4.3585,5.6611,0.6022,0.5738,0.875,0.0677,0.1143
Ga_i,0.027,0.0274,0.5668,0.6731,0.875,0.0208,0.1099
Ga_s,0.004,0.0041,0.6339,0.7287,0.8571,0.0325,0.1202
K_i,430.2514,457.779,0.6668,0.8035,0.7143,0.0457,0.181
K_s,72.0093,123.3952,0.9479,0.8548,0.9464,0.0583,0.0279
La_i,0.094,0.0639,0.1114,0.2713,0.9107,0.1283,0.3515
La_s,0.013,0.0067,3e-4,0.5827,0.875,0.0363,0.6907
Li_i,0.0425,0.037,0.5488,0.6147,0.8929,0.0428,0.1133
Li_s,0.0358,0.0467,0.7334,0.7419,0.9821,0.0469,0.0718
Mg_i,21.9591,19.3216,0.3096,0.4892,0.9643,0.0161,0.1238
Mg_s,23.8087,15.3728,0.4526,0.7429,0.9464,0.0822,0.106
Mn_i,3.6278,3.4193,0.4589,0.7401,0.9821,0.0129,0.1215
Mn_s,2.174,2.2852,0.7408,0.7294,0.9107,0.0465,0.0682
Mo_i,2.5967,1.4257,0.7431,0.8489,0.8571,0.0129,0.174
Mo_s,7.6956,2.3651,0.7997,0.9405,0.9107,0.1587,0.3471
Na_i,143.5956,118.2455,0.0489,0.2189,0.9107,0.0388,0.2293
Nb_i,0.1118,0.0861,0.2399,0.9033,0.5,0.075,0.7027
Nb_s,0.0083,0.0025,0.3539,0.8694,0.7857,0.1642,0.98
Ni_i,6.6795,5.8594,0.8072,0.927,0.9464,0.0548,0.1392
Ni_s,0.5676,0.5245,0.3768,0.7894,0.9107,0.0637,0.2149
Pb_i,1.7904,1.5553,0.7261,0.7809,0.9643,0.0058,0.0855
Pb_s,0.3537,0.3515,0.8932,0.7942,0.9286,0.0505,0.071
PM10,7.8746,5.8518,0.8032,0.8366,0.9643,0.0136,0.0401
Rb_i,0.1323,0.1237,0.3472,0.6443,0.9107,0.073,0.1746
Rb_s,0.2822,0.3709,0.805,0.7646,0.9286,0.0376,0.0767
Sb_i,0.2103,0.2526,0.7967,0.8024,1,0.0561,0.0595
Sb_s,0.1397,0.126,0.4922,0.5254,0.9643,0.0952,0.0967
Sn_i,1.0418,0.7965,0.8632,0.933,0.9643,0.0307,0.053
Sn_s,0.0944,0.0743,0.2709,0.6349,0.8214,0.1066,0.2663
Sr_i,0.748,0.7421,0.3502,0.4772,0.9107,0.0965,0.1694
Sr_s,0.5563,0.8406,0.6295,0.6123,0.9821,0.051,0.0692
Ti_i,1.767,1.9857,0.798,0.5805,0.9643,0.0482,0.0669
Ti_s,0.0684,0.0853,0.2131,0.5537,0.8929,0.1148,0.3397
Tl_i,0.0161,0.0099,0.7267,0.8336,0.875,0.0311,0.1348
Tl_s,0.0412,0.0249,0.8068,0.8984,0.9286,0.0564,0.1291
U_i,0.0032,0.0024,0.7021,0.7675,0.9821,0.0779,0.1097
U_s,5e-4,5e-4,0.5897,0.5435,0.9286,0.0098,0.0854
V_i,0.3249,0.2448,0.2115,0.4845,0.6786,0.0908,0.3786
V_s,0.2818,0.1966,0.7118,0.8326,0.9286,0.1005,0.1415
W_i,0.0503,0.0385,0.6374,0.7338,0.9286,0.0077,0.1586
W_s,0.0386,0.0219,0.83,0.9526,0.9107,0.0116,0.109
Zn_i,20.7134,19.9083,0.3987,0.4973,0.9286,0.019,0.2595
Zn_s,11.0563,10.3954,0.7233,0.7646,0.9464,0.0213,0.094
Zr_i,0.171,0.1802,0.6905,0.6899,0.9464,0.0291,0.0703
Zr_s,0.0157,0.0173,0.3582,0.7359,0.5357,0.0516,0.3922
