PM10,Cd_s,Cr_i,Cr_s,Cs_s,Cu_i,Fe_i,K_s,Li_i,Mn_i,Mo_s,Ni_i,Pb_i,Rb_s,Sn_i,W_s,Zn_s,Zr_i
50.38249374681799,0.3772161555086547,16.50175066972414,1.6225903296409985,0.10911730413924838,11.904004314829894,337.18717853199723,801.1235282907079,0.09329829800300911,7.766102131911334,3.584429752765667,5.087322015574346,7.404566773850302,1.1393726196651714,6.601078396377023,0.0514274947829508,71.80826082700048,0.7703959273144438
59.14737547834001,0.31219023208148367,14.667783299370983,1.7938852012383584,0.11507495822776997,12.171701019549841,269.50827123763446,1184.8434979956512,0.08455800131932169,7.230190415628797,4.395307086694432,4.995299283462135,6.308168964462226,2.444942130099077,5.777089284298791,0.050434420062694635,62.344587780760094,0.60671580907687
38.593606998051534,0.16522653653708533,14.331475811987156,0.8736061783835971,0.06040981576949251,8.18944489862386,245.73738292074793,537.6456451558033,0.0876649637000625,6.036775625495716,5.118408920029157,5.983192532256061,4.434820428423276,1.4563114634141565,4.300488703762213,0.0615325636265809,36.41240474547244,0.524446392004643
28.064460396814212,0.0591291115542344,9.474605251261027,0.40546178364943186,0.01684958528941023,5.294715626825282,189.0847070167363,169.1348068395553,0.08251386466194001,5.046958528531884,2.397760237940225,4.476440925956993,3.5712837075762347,0.4899882200910696,1.5365380938066446,0.034314963956519805,11.03740664394497,0.35210833586271956
19.41592760533669,0.06302209444920595,10.021995215042098,1.0542600409103564,0.015184950155624941,4.5891984370997125,161.73132895782993,158.1857232762182,0.04830376124347545,4.56715210932996,2.9245234764453625,4.255098723426903,2.692383818599815,0.34670005209933186,1.0787186053201503,0.04040167025285817,21.99734853109992,0.34960358015020987
17.928049624909303,0.05476976781806133,13.473974753549536,0.7712858769141456,0.01155844282525064,4.488970588011527,201.20422902631563,132.15286974608304,0.10267620075634226,4.566295328249258,6.709901391924926,6.693659592215297,2.3374802341929635,0.18213183461446866,1.0366686280064406,0.06144698075641965,17.499440278894106,0.2739594581695079
18.73988089417543,0.035581653430986605,13.391378254568624,1.2659622788944052,0.016803721749327663,4.552566591625977,268.72079019352503,141.5219239806926,0.1723410725066548,5.8096516840788945,4.406999219574996,7.860198285894783,3.4723820618996832,0.4903042405831847,1.009498722273735,0.06890537188930286,15.929690809519965,0.6190638865360696
21.11486819310005,0.0448545411027539,14.18471705317589,0.9048995931176489,0.017023807356356703,4.741376870269075,303.1322773790252,142.79681207600814,0.182257246959639,5.965183720525601,3.3456616516507,8.353835039301417,2.8912967355121184,0.405906324723968,1.026001822752706,0.03988562165202735,17.086263283819708,0.5362767260207123
30.834574714237636,0.07067072616780855,20.102717370217476,1.0195515986939356,0.022009491054778316,5.154986157821161,377.1596138764848,185.80538054847793,0.09546907199057568,6.434649745970489,3.4512278243231655,7.845608616640808,3.269234345181479,0.40857564359843895,1.4253288973001481,0.04048252478496545,26.128679394579333,0.4230600803745758
32.350461387456754,0.11643819768601411,11.20306568191619,1.0322727765617252,0.03733270672870521,6.2482704466414125,249.4901806912893,261.9980008927071,0.06271491625061806,5.426157804283036,4.366858221252712,5.967142246993452,3.6796784856514066,0.8069124655859249,2.450195791463065,0.04821065017625707,23.77485202173812,0.5283386234138069
23.01012432015714,0.285214409697739,13.925304877974115,1.6937038150405233,0.08201861857086036,7.6942722604972476,245.65051519774073,713.1047549243303,0.08620421573957568,7.072702972430143,6.078490753718916,4.3774485925563935,5.771562822756496,1.8067776783003069,3.546809826449913,0.07193690816724278,53.59778632884361,0.6066973893039485
29.382610906107185,0.42526847898183456,14.025698090874918,1.416773222904383,0.08564495937615185,6.9226137071099,309.4631346097859,733.4905734564962,0.08637371937647856,5.983179057476872,3.65797321070637,4.908399319477561,5.259000701667574,1.6948971481989583,3.6447156204249755,0.057963314255165,41.16467181546719,0.5964047294706919
