ID,m,v1$Site
1,34.80365659777424,RI
2,23.03184713375796,MA
3,88.09777424483306,FA
4,66.97133757961784,GI
5,17.277290836653385,FR
6,39.12898089171974,CB
7,33.11914217633042,PI
8,61.752782193958666,BR
9,45.80701754385965,AR
10,89.9315831344471,CR
11,43.884,HG
12,51.15366242038217,SA
13,64.3784,PV
14,10.784,LG
15,72.92191235059761,CZ
16,84.78035143769968,HV
17,91.15003990422984,UC
18,60.41686555290374,CA
19,66.36155063291139,CO
20,77.47850318471338,RO
21,46.70199203187251,OB
22,43.228934817170114,PR
23,13.418326693227092,CP
